#SampleID	Scientist	DNAConc	Year	Month	Day	Name	prebiotic	grouping	Timepoint	Sample	Sampletype	Description
51339	Sari	10	2018	2	21	Group 03 - Urolithin A 55mg/kg	UA	3	5	UA	UA	51339
51340	Sari	10	2018	2	21	Group 03 - Urolithin A 55mg/kg	UA	3	5	UA	UA	51340
51285	Sari	10	2018	2	21	Group 08 - Microbe mix 5 200uL	mcrb	8	1	MM5	MM5	51285
51286	Sari	10	2018	2	21	Group 08 - Microbe mix 5 200uL	mcrb	8	1	MM5	MM5	51286
51301	Sari	10	2018	2	21	Group 08 - Microbe mix 5 200uL	mcrb	8	2	MM5	MM5	51301
51302	Sari	10	2018	2	21	Group 08 - Microbe mix 5 200uL	mcrb	8	2	MM5	MM5	51302
51317	Sari	10	2018	2	21	Group 08 - Microbe mix 5 200uL	mcrb	8	3	MM5	MM5	51317
51318	Sari	10	2018	2	21	Group 08 - Microbe mix 5 200uL	mcrb	8	3	MM5	MM5	51318
51333	Sari	10	2018	2	21	Group 08 - Microbe mix 5 200uL	mcrb	8	4	MM5	MM5	51333
51334	Sari	10	2018	2	21	Group 08 - Microbe mix 5 200uL	mcrb	8	4	MM5	MM5	51334
51349	Sari	10	2018	2	21	Group 08 - Microbe mix 5 200uL	mcrb	8	5	MM5	MM5	51349
51350	Sari	10	2018	2	21	Group 08 - Microbe mix 5 200uL	mcrb	8	5	MM5	MM5	51350
51283	Sari	10	2018	2	21	Group 07 - Microbe mix 4 200uL + Ellagic Acid 55mg/kg	EA	7	1	MM4	MM4	51283
51284	Sari	10	2018	2	21	Group 07 - Microbe mix 4 200uL + Ellagic Acid 55mg/kg	EA	7	1	MM4	MM4	51284
51299	Sari	10	2018	2	21	Group 07 - Microbe mix 4 200uL + Ellagic Acid 55mg/kg	EA	7	2	MM4	MM4	51299
51300	Sari	10	2018	2	21	Group 07 - Microbe mix 4 200uL + Ellagic Acid 55mg/kg	EA	7	2	MM4	MM4	51300
51315	Sari	10	2018	2	21	Group 07 - Microbe mix 4 200uL + Ellagic Acid 55mg/kg	EA	7	3	MM4	MM4	51315
51316	Sari	10	2018	2	21	Group 07 - Microbe mix 4 200uL + Ellagic Acid 55mg/kg	EA	7	3	MM4	MM4	51316
51331	Sari	10	2018	2	21	Group 07 - Microbe mix 4 200uL + Ellagic Acid 55mg/kg	EA	7	4	MM4	MM4	51331
51332	Sari	10	2018	2	21	Group 07 - Microbe mix 4 200uL + Ellagic Acid 55mg/kg	EA	7	4	MM4	MM4	51332
51347	Sari	10	2018	2	21	Group 07 - Microbe mix 4 200uL + Ellagic Acid 55mg/kg	EA	7	5	MM4	MM4	51347
51348	Sari	10	2018	2	21	Group 07 - Microbe mix 4 200uL + Ellagic Acid 55mg/kg	EA	7	5	MM4	MM4	51348
51281	Sari	10	2018	2	21	Group 06 - Microbe mix 3 200uL + Ellagic Acid 55mg/kg	EA	6	1	MM3	MM3	51281
51282	Sari	10	2018	2	21	Group 06 - Microbe mix 3 200uL + Ellagic Acid 55mg/kg	EA	6	1	MM3	MM3	51282
51297	Sari	10	2018	2	21	Group 06 - Microbe mix 3 200uL + Ellagic Acid 55mg/kg	EA	6	2	MM3	MM3	51297
51298	Sari	10	2018	2	21	Group 06 - Microbe mix 3 200uL + Ellagic Acid 55mg/kg	EA	6	2	MM3	MM3	51298
51313	Sari	10	2018	2	21	Group 06 - Microbe mix 3 200uL + Ellagic Acid 55mg/kg	EA	6	3	MM3	MM3	51313
51314	Sari	10	2018	2	21	Group 06 - Microbe mix 3 200uL + Ellagic Acid 55mg/kg	EA	6	3	MM3	MM3	51314
51329	Sari	10	2018	2	21	Group 06 - Microbe mix 3 200uL + Ellagic Acid 55mg/kg	EA	6	4	MM3	MM3	51329
51330	Sari	10	2018	2	21	Group 06 - Microbe mix 3 200uL + Ellagic Acid 55mg/kg	EA	6	4	MM3	MM3	51330
51345	Sari	10	2018	2	21	Group 06 - Microbe mix 3 200uL + Ellagic Acid 55mg/kg	EA	6	5	MM3	MM3	51345
51346	Sari	10	2018	2	21	Group 06 - Microbe mix 3 200uL + Ellagic Acid 55mg/kg	EA	6	5	MM3	MM3	51346
51279	Sari	10	2018	2	21	Group 05 - Microbe mix 2 200uL	mcrb	5	1	MM2	MM2	51279
51280	Sari	10	2018	2	21	Group 05 - Microbe mix 2 200uL	mcrb	5	1	MM2	MM2	51280
51295	Sari	10	2018	2	21	Group 05 - Microbe mix 2 200uL	mcrb	5	2	MM2	MM2	51295
51296	Sari	10	2018	2	21	Group 05 - Microbe mix 2 200uL	mcrb	5	2	MM2	MM2	51296
51311	Sari	10	2018	2	21	Group 05 - Microbe mix 2 200uL	mcrb	5	3	MM2	MM2	51311
51312	Sari	10	2018	2	21	Group 05 - Microbe mix 2 200uL	mcrb	5	3	MM2	MM2	51312
51327	Sari	10	2018	2	21	Group 05 - Microbe mix 2 200uL	mcrb	5	4	MM2	MM2	51327
51328	Sari	10	2018	2	21	Group 05 - Microbe mix 2 200uL	mcrb	5	4	MM2	MM2	51328
51343	Sari	10	2018	2	21	Group 05 - Microbe mix 2 200uL	mcrb	5	5	MM2	MM2	51343
51344	Sari	10	2018	2	21	Group 05 - Microbe mix 2 200uL	mcrb	5	5	MM2	MM2	51344
51277	Sari	10	2018	2	21	Group 04 - Microbe mix 1 200uL	mcrb	4	1	MM1	MM1	51277
51278	Sari	10	2018	2	21	Group 04 - Microbe mix 1 200uL	mcrb	4	1	MM1	MM1	51278
51293	Sari	10	2018	2	21	Group 04 - Microbe mix 1 200uL	mcrb	4	2	MM1	MM1	51293
51294	Sari	10	2018	2	21	Group 04 - Microbe mix 1 200uL	mcrb	4	2	MM1	MM1	51294
51309	Sari	10	2018	2	21	Group 04 - Microbe mix 1 200uL	mcrb	4	3	MM1	MM1	51309
51310	Sari	10	2018	2	21	Group 04 - Microbe mix 1 200uL	mcrb	4	3	MM1	MM1	51310
51325	Sari	10	2018	2	21	Group 04 - Microbe mix 1 200uL	mcrb	4	4	MM1	MM1	51325
51326	Sari	10	2018	2	21	Group 04 - Microbe mix 1 200uL	mcrb	4	4	MM1	MM1	51326
51341	Sari	10	2018	2	21	Group 04 - Microbe mix 1 200uL	mcrb	4	5	MM1	MM1	51341
51342	Sari	10	2018	2	21	Group 04 - Microbe mix 1 200uL	mcrb	4	5	MM1	MM1	51342
51273	Sari	10	2018	2	21	Group 02 - Ellagic Acid 55mg/kg	EA	2	1	EA	EA	51273
51274	Sari	10	2018	2	21	Group 02 - Ellagic Acid 55mg/kg	EA	2	1	EA	EA	51274
51289	Sari	10	2018	2	21	Group 02 - Ellagic Acid 55mg/kg	EA	2	2	EA	EA	51289
51290	Sari	10	2018	2	21	Group 02 - Ellagic Acid 55mg/kg	EA	2	2	EA	EA	51290
51305	Sari	10	2018	2	21	Group 02 - Ellagic Acid 55mg/kg	EA	2	3	EA	EA	51305
51306	Sari	10	2018	2	21	Group 02 - Ellagic Acid 55mg/kg	EA	2	3	EA	EA	51306
51321	Sari	10	2018	2	21	Group 02 - Ellagic Acid 55mg/kg	EA	2	4	EA	EA	51321
51322	Sari	10	2018	2	21	Group 02 - Ellagic Acid 55mg/kg	EA	2	4	EA	EA	51322
51337	Sari	10	2018	2	21	Group 02 - Ellagic Acid 55mg/kg	EA	2	5	EA	EA	51337
51338	Sari	10	2018	2	21	Group 02 - Ellagic Acid 55mg/kg	EA	2	5	EA	EA	51338
